Useq	Freezer_Id	Mothur_Classification	taxon_oid	Genome_Name	Genome_Classification
Sequence_33	MF123	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2521172627	Bacillus sp. 123MFChir2	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
Sequence_34	CL63	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;	2643221510	Arthrobacter sp. CL63Tsu	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter
Sequence_34	MF131	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;	2517572122	Arthrobacter sp. 131MFCol6.1	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter
Sequence_34	MF49	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;	2519899654	Arthrobacter sp. 49Tsu3.1M3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter
Sequence_34	MF9	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;	2556921097	Arthrobacter sp. 9MFCol3.1	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter
Sequence_35	CL19	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;	2579779168	Bosea sp. UNC402CLCol	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bosea
Sequence_36	MF261	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Leucobacter;	2548877166	Mycobacterium mucogenicum 261Sha1.1M5	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
Sequence_37	MF303	Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;	2521172626	Streptomyces sp. 303MFCol5.2	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces
Sequence_38	MF181	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;	2639762524	Paenibacillus sp. 181MFCol5.1	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
Sequence_39	CL32	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;	2643221509	Agrobacterium tumefaciens CL32Tsu	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
Sequence_39	CL32_2	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;	2643221509	Agrobacterium tumefaciens CL32Tsu	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
Sequence_39	CL32_27f	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;	2643221509	Agrobacterium tumefaciens CL32Tsu	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
Sequence_39	CL41	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;	2529292583	Agrobacterium sp. UNC420CL41Cvi	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
Sequence_39	CL41_27F	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;	2529292583	Agrobacterium sp. UNC420CL41Cvi	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
Sequence_39	MF10	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;	2521172663	Agrobacterium sp. 10MFCol1.1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
Sequence_39	MF224	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;	2521172624	Agrobacterium sp. 224MFTsu3.1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
Sequence_39	MF224_27f	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;	2521172624	Agrobacterium sp. 224MFTsu3.1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
Sequence_39	MF389	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;	2521172559	Agrobacterium sp. 719_389	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
Sequence_39	MF389_27F	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;	2521172559	Agrobacterium sp. 719_389	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
Sequence_4	MF220A	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;	2643221532	Sphingomonas sp. 220AMFTsu3.1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
Sequence_40	CL144_2	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;	2596583598	Ralstonia sp. UNCCL144	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Ralstoniaceae;g__Ralstonia
Sequence_40	CL21	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;	2558309150	Ralstonia sp. UNC404CL21Col	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Ralstoniaceae;g__Ralstonia
