Plate,Well,row,column,Sample,Soil,Genotype,Plot,Fraction,OTU_Header,DADA2_Header,Phosphate,Pot,Depth,LDepth
Plate2,D8,d,8,R46,high-4,phr1/phl1,Plot12,Root,P58Plate2,Plate2_D8,high,Pot46,38986,10.5709578863061
Plate2,D9,d,9,L16,low-4,phf1,Plot10,Shoot,P44Plate2,Plate2_D9,low,Pot16,32635,10.3931406110693
Plate2,E1,e,1,S48,high-6,phr1/phl1,Plot18,Soil,P3Plate2,Plate2_E1,high,Pot48,37212,10.5243865688884
Plate2,E10,e,10,L11,low-5,phr1/phl1,Plot13,Shoot,P34Plate2,Plate2_E10,low,Pot11,44448,10.7020752455541
Plate2,E11,e,11,L48,high-6,phr1/phl1,Plot18,Shoot,P71Plate2,Plate2_E11,high,Pot48,49134,10.8023065384982
Plate2,E12,e,12,R55,low+Pi-1,Col-0,Plot1,Root,P28Plate2,Plate2_E12,low+Pi,Pot55,50023,10.8202381786427
Plate2,E3,e,3,S68,low+Pi-2,phf1,Plot4,Soil,P59Plate2,Plate2_E3,low+Pi,Pot68,30756,10.3338403761521
Plate2,E4,e,4,S69,low+Pi-3,phf1,Plot7,Soil,P56Plate2,Plate2_E4,low+Pi,Pot69,55625,10.9263880194685
Plate2,E6,e,6,S25,medium-1,phr1/phl1,Plot2,Soil,P63Plate2,Plate2_E6,medium,Pot25,46679,10.7510496637203
Plate2,E7,e,7,R57,low+Pi-3,Col-0,Plot7,Root,P67Plate2,Plate2_E7,low+Pi,Pot57,43316,10.6762773607483
Plate2,E8,e,8,L9,low-3,phr1/phl1,Plot7,Shoot,P54Plate2,Plate2_E8,low,Pot9,42134,10.6486102946864
Plate2,F1,f,1,L57,low+Pi-3,Col-0,Plot7,Shoot,P6Plate2,Plate2_F1,low+Pi,Pot57,44635,10.7062735836135
Plate2,F10,f,10,R64,low+Pi-4,phr1/phl1,Plot10,Root,P19Plate2,Plate2_F10,low+Pi,Pot64,24640,10.1121264176475
Plate2,F11,f,11,R7,low-1,phr1/phl1,Plot1,Root,P48Plate2,Plate2_F11,low,Pot7,52551,10.8695394056198
Plate2,F3,f,3,S36,medium-6,phf1,Plot17,Soil,P64Plate2,Plate2_F3,medium,Pot36,33079,10.4066539189346
