DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Plot,Fraction,Phosphate,Pot,Depth,LDepth,CAP1,CAP2,CAP3,CAP4,CAP5,MDS1
Plate1H1,Plate1,H1,H,1,R8,low-2,phr1/phl1,Plot4,Root,low,Pot8,21500,9.97580821411575,-0.95293328654539,0.695096633086956,-2.87100667373136,-0.0784029046049686,-0.807644077362799,0.0616507354849234
Plate1G3,Plate1,G3,G,3,R9,low-3,phr1/phl1,Plot7,Root,low,Pot9,20871,9.94611591459175,-0.267843897053489,-0.487216403292637,-2.47860865652103,-0.491956683308987,0.584401647095429,0.663491908678023
Plate1G5,Plate1,G5,G,5,R10,low-4,phr1/phl1,Plot10,Root,low,Pot10,22228,10.0091080343998,-0.757553393033471,0.448138829687189,-0.682908356174682,0.734612083949522,-1.25794200462103,0.00647544956126989
Plate1B8,Plate1,B8,B,8,R11,low-5,phr1/phl1,Plot13,Root,low,Pot11,5524,8.61685751452918,-0.376178277915206,-0.149288617166302,-1.60292222747258,-0.836747095182887,0.647997542544885,0.437663377256499
Plate2A4,Plate2,A4,A,4,R13,low-1,phf1,Plot1,Root,low,Pot13,27535,10.2232132016966,-0.256430760847304,0.727302321158447,-0.790328805233277,0.456261879487599,-0.06937975416663,0.938726858370815
Plate1B9,Plate1,B9,B,9,R14,low-2,phf1,Plot4,Root,low,Pot14,10907,9.29716006392874,-1.26473261314713,1.50780611035519,-0.00302861980137442,0.244604579116101,-0.26591546071939,-0.155786333903837
Plate3A2,Plate3,A2,A,2,R15,low-3,phf1,Plot7,Root,low,Pot15,133622,11.8027701971866,-0.718945652740676,0.00887860695715179,-0.563713930093437,-0.513178186447521,0.187806973205662,0.223327812786562
Plate1A1,Plate1,A1,A,1,R16,low-4,phf1,Plot10,Root,low,Pot16,11562,9.35547913764242,-1.09651329199283,1.13519494413709,-0.818110389817003,-1.25846961520634,-1.51341634643064,-0.318697235396109
Plate1G12,Plate1,G12,G,12,R17,low-5,phf1,Plot13,Root,low,Pot17,26262,10.1758783064189,-1.31422168075537,1.87763783860295,-0.162340396634978,-1.23321006847925,-2.65757436927185,-0.528350472746163
Plate1G1,Plate1,G1,G,1,R18,low-6,phf1,Plot16,Root,low,Pot18,17138,9.74905349922906,-0.817758251485407,1.63185335965172,0.456168852311237,-1.24702741573016,-1.89590823974402,0.066966136648497
Plate1C12,Plate1,C12,C,12,R19,medium-1,Col-0,Plot2,Root,medium,Pot19,19888,9.89787181375049,-1.25947386043998,0.936184146764883,1.51780695920755,1.3085808828696,1.43712151659466,-0.727523449455347
Plate1H7,Plate1,H7,H,7,R20,medium-2,Col-0,Plot5,Root,medium,Pot20,40353,10.6054210203767,-0.619815369641343,1.12669234283706,0.956888252599214,0.711150355025834,2.36001666118783,-0.1579028533189
Plate3A3,Plate3,A3,A,3,R21,medium-3,Col-0,Plot8,Root,medium,Pot21,105444,11.5659352852838,-0.854506492627527,0.289098627463031,-0.525284875964327,0.0949278710963068,2.21695144793112,-0.346968349782948
Plate1A4,Plate1,A4,A,4,R22,medium-4,Col-0,Plot11,Root,medium,Pot22,5202,8.5567984460086,-0.447136650460946,0.536093676946784,-0.128679198465085,0.0617960999890546,2.18791044466135,0.223057125253045
Plate2B1,Plate2,B1,B,1,R23,medium-5,Col-0,Plot14,Root,medium,Pot23,155156,11.9521863413814,-0.944155781989043,1.83699190444093,1.07418874451306,-0.873800548584347,0.0888922102635236,-0.765527082054788
Plate1B6,Plate1,B6,B,6,R24,medium-6,Col-0,Plot17,Root,medium,Pot24,26862,10.198467927469,-1.43378091582942,2.08462098866095,0.886434571894738,-1.22061849335233,-0.689223277431929,-1.32766597385373
Plate1E10,Plate1,E10,E,10,R25,medium-1,phr1/phl1,Plot2,Root,medium,Pot25,19879,9.89741917713452,0.895533947027208,0.0919410767167756,-0.277607910751243,0.349872720170639,0.640494430680902,1.50173812884573
Plate1E4,Plate1,E4,E,4,R26,medium-2,phr1/phl1,Plot5,Root,medium,Pot26,10372,9.24686514665856,-0.529372221135706,-0.247313488778654,-2.64719395388475,-0.091871566747898,-0.167823834375671,-0.259395635814781
Plate1D11,Plate1,D11,D,11,R26,medium-2,phr1/phl1,Plot5,Root,medium,Pot26,9714,9.18132342290569,-0.395651036085701,-0.394509611622618,-2.1909887944085,0.485654255930371,-0.278422365892944,-0.0965108369650304
Plate2D2,Plate2,D2,D,2,R27,medium-3,phr1/phl1,Plot8,Root,medium,Pot27,13615,9.51892740510786,-0.753897235402073,0.588274752100232,0.0935450356396038,1.60413886041973,0.641947201714387,-0.487485093741592
Plate1E3,Plate1,E3,E,3,R28,medium-4,phr1/phl1,Plot11,Root,medium,Pot28,3730,8.22416351263786,0.520972121709967,0.163849999279118,-1.75319093798376,1.42065152077218,0.199611311880538,1.2970874738433
Plate1C2,Plate1,C2,C,2,R29,medium-5,phr1/phl1,Plot14,Root,medium,Pot29,10000,9.21034037197618,0.335478024213853,0.684381712060049,-0.045824947625683,1.2124899417828,0.295689837847112,0.730999873006993
Plate1A9,Plate1,A9,A,9,R30,medium-6,phr1/phl1,Plot17,Root,medium,Pot30,14071,9.55187122078826,0.176750661852787,0.106122811259739,-1.56771267402683,0.671026425619932,0.294181419332439,0.653488862498743
Plate2A1,Plate2,A1,A,1,R31,medium-1,phf1,Plot2,Root,medium,Pot31,216110,12.2835428162971,-1.11546998075545,0.142378704712042,-0.690344928680506,0.0941226710806411,-2.5713527841996,-0.534228806535841
Plate2H1,Plate2,H1,H,1,R32,medium-2,phf1,Plot5,Root,medium,Pot32,76220,11.2413791744279,-0.885622057599024,0.292102230722122,-0.339528634279616,-0.252422074834607,-2.7720347950198,-0.573071831850388
Plate1D6,Plate1,D6,D,6,R33,medium-3,phf1,Plot8,Root,medium,Pot33,12334,9.42011495555144,-0.641452557139825,0.305438268141815,-0.977275535470769,-0.310846639059281,-2.38493268273906,-0.174590743717397
Plate1G11,Plate1,G11,G,11,R34,medium-4,phf1,Plot11,Root,medium,Pot34,17961,9.79595801959346,-1.40998582921789,1.30346623018158,-0.329931615856396,-0.0952686985098358,-2.37122158079082,-0.977385729366728
Plate2C11,Plate2,C11,C,11,R35,medium-5,phf1,Plot14,Root,medium,Pot35,26714,10.192943051537,-0.835503157452054,0.781649396835803,0.0397970354343504,-0.873829296743886,-1.99267741628015,-0.426510662701072
Plate1C4,Plate1,C4,C,4,R36,medium-6,phf1,Plot17,Root,medium,Pot36,6704,8.81045964216192,-1.04206577834594,1.91671547122096,0.186235033125594,-0.96100653830252,-1.32334448623085,-0.457847301198542
Plate1B1,Plate1,B1,B,1,R37,high-1,Col-0,Plot3,Root,high,Pot37,59550,10.9945715747834,-0.962552589603173,0.592409990077182,0.353361477556428,-0.398868661842361,1.22387683276139,-0.748301744996459
Plate1B4,Plate1,B4,B,4,R38,high-2,Col-0,Plot6,Root,high,Pot38,15950,9.67721410821299,-0.450859488984217,1.52639713190136,0.672560239529491,-0.483065549797072,1.98338566472277,0.0824156764629554
Plate2B7,Plate2,B7,B,7,R39,high-3,Col-0,Plot9,Root,high,Pot39,44463,10.702412661625,-1.29694335350584,1.84737555216979,1.61101389483269,0.784918384810936,0.984684974816552,-1.04083174165201
Plate2C1,Plate2,C1,C,1,R40,high-4,Col-0,Plot12,Root,high,Pot40,128927,11.7670016316939,-0.797852467952483,2.40565632524772,-0.66213102505398,-0.160114321015694,0.783571873175042,-0.101431467428547
Plate1A8,Plate1,A8,A,8,R41,high-5,Col-0,Plot15,Root,high,Pot41,17333,9.76036747794131,-1.38645798694656,0.700180156217698,0.610414073221269,-0.857764750087899,0.860601870910089,-1.31736303241721
Plate1C10,Plate1,C10,C,10,R42,high-6,Col-0,Plot18,Root,high,Pot42,32079,10.3759568894248,-0.710935271121138,2.22258678950298,1.30265235703228,-0.0903183693536314,2.15885969917603,0.0749544567302588
Plate3E2,Plate3,E2,E,2,R43,high-1,phr1/phl1,Plot3,Root,high,Pot43,41648,10.6370086272343,0.880821962537222,-0.0304596256100682,-2.52416822963692,1.49770779295564,0.722951619115828,1.71270596194067
Plate1C11,Plate1,C11,C,11,R44,high-2,phr1/phl1,Plot6,Root,high,Pot44,32435,10.3869933656472,-0.103006467782814,-0.0270068069106122,-0.368969878845225,0.394207131808113,-0.665400528887179,0.111465090487491
Plate2D10,Plate2,D10,D,10,R45,high-3,phr1/phl1,Plot9,Root,high,Pot45,54894,10.9131593319076,0.88659327106898,0.296671797444091,-1.38706992272269,0.596023725715679,1.00845985569187,1.78256482619617
Plate2D8,Plate2,D8,D,8,R46,high-4,phr1/phl1,Plot12,Root,high,Pot46,34669,10.4536011948826,-0.756093978927571,1.23287351775729,-2.71970928011479,0.413328791266212,-1.23879137329208,-0.267966013661237
Plate1D5,Plate1,D5,D,5,R47,high-5,phr1/phl1,Plot15,Root,high,Pot47,12351,9.42149231043801,0.102799802516336,0.542721926063514,0.227049301431404,-0.195133619450132,0.549139067744207,0.525372981109347
Plate1B12,Plate1,B12,B,12,R49,high-1,phf1,Plot3,Root,high,Pot49,30132,10.3133430089456,-1.03485309426889,2.06624981992207,1.4888889702039,-0.61846765593802,-0.885869152075585,-0.478236062791171
Plate2C4,Plate2,C4,C,4,R50,high-2,phf1,Plot6,Root,high,Pot50,94839,11.4599359960495,-0.865517908034544,1.28887965974305,0.472719339853119,-0.00639876814325007,-0.127122797480483,-0.442156845403486
