group,Gene,value,Fraction,Phosphate,Genotype
Root_low_Col_0,AT5G61510,0.0988860233055206,Root,low,Col_0
Root_low_Col_0,AT5G61550,0.376314435228739,Root,low,Col_0
Root_low_Col_0,AT5G63130,0.616011378365947,Root,low,Col_0
Root_low_Col_0,AT5G63680,1.014706075284,Root,low,Col_0
Root_low_Col_0,AT5G64000,0.746346539606194,Root,low,Col_0
Root_low_Col_0,AT5G67080,0.762583783093862,Root,low,Col_0
Root_low_phf1,AT1G02310,-0.627545485293274,Root,low,phf1
Root_low_phf1,AT1G03020,0.00861173516482931,Root,low,phf1
Root_low_phf1,AT1G03250,0.175947292363666,Root,low,phf1
Root_low_phf1,AT1G05000,0.334294882409014,Root,low,phf1
Root_low_phf1,AT1G08310,0.543977413253236,Root,low,phf1
Root_low_phf1,AT1G08650,0.388201421385186,Root,low,phf1
Root_low_phf1,AT1G13300,-0.101500140363175,Root,low,phf1
Root_low_phf1,AT1G13750,0.450777143395858,Root,low,phf1
Root_low_phf1,AT1G17710,0.718578172496722,Root,low,phf1
