DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Plot,Fraction,Phosphate,Pot,Depth,LDepth
Plate1E1,Plate1,E1,E,1,S48,high-6,phr1/phl1,Plot18,Soil,high,Pot48,24329,10.0994243334121
Plate2E1,Plate2,E1,E,1,S48,high-6,phr1/phl1,Plot18,Soil,high,Pot48,128231,11.7615886039098
Plate2F5,Plate2,F5,F,5,S49,high-1,phf1,Plot3,Soil,high,Pot49,175134,12.0733066741817
Plate2A11,Plate2,A11,A,11,S50,high-2,phf1,Plot6,Soil,high,Pot50,236648,12.3743290839993
Plate2A12,Plate2,A12,A,12,S51,high-3,phf1,Plot9,Soil,high,Pot51,212777,12.2679999479015
Plate2D3,Plate2,D3,D,3,S52,high-4,phf1,Plot12,Soil,high,Pot52,79228,11.2800850506772
Plate2C10,Plate2,C10,C,10,S53,high-5,phf1,Plot15,Soil,high,Pot53,451794,13.0209816027154
Plate3D3,Plate3,D3,D,3,S54,high-6,phf1,Plot18,Soil,high,Pot54,239717,12.3872143398934
Plate1D9,Plate1,D9,D,9,S55,low+Pi-1,Col-0,Plot1,Soil,low+Pi,Pot55,45772,10.7314278294376
Plate1F2,Plate1,F2,F,2,S56,low+Pi-2,Col-0,Plot4,Soil,low+Pi,Pot56,39096,10.57377543895
Plate1C6,Plate1,C6,C,6,S57,low+Pi-3,Col-0,Plot7,Soil,low+Pi,Pot57,174593,12.0702128299459
Plate2D11,Plate2,D11,D,11,S58,low+Pi-4,Col-0,Plot10,Soil,low+Pi,Pot58,205722,12.2342810217938
Plate1A6,Plate1,A6,A,6,S59,low+Pi-5,Col-0,Plot13,Soil,low+Pi,Pot59,18175,9.80780230240172
Plate1C1,Plate1,C1,C,1,S62,low+Pi-2,phr1/phl1,Plot4,Soil,low+Pi,Pot62,64920,11.0809110216285
Plate1B7,Plate1,B7,B,7,S62,low+Pi-2,phr1/phl1,Plot4,Soil,low+Pi,Pot62,43145,10.6723218149424
Plate2H7,Plate2,H7,H,7,S64,low+Pi-4,phr1/phl1,Plot10,Soil,low+Pi,Pot64,110087,11.6090262412617
Plate2G6,Plate2,G6,G,6,S65,low+Pi-5,phr1/phl1,Plot13,Soil,low+Pi,Pot65,56326,10.9389115192485
Plate1A3,Plate1,A3,A,3,S66,low+Pi-6,phr1/phl1,Plot16,Soil,low+Pi,Pot66,16253,9.69603278610318
Plate1E11,Plate1,E11,E,11,S67,low+Pi-1,phf1,Plot1,Soil,low+Pi,Pot67,37591,10.5345199390243
Plate2E3,Plate2,E3,E,3,S68,low+Pi-2,phf1,Plot4,Soil,low+Pi,Pot68,122714,11.7176117236197
Plate2E4,Plate2,E4,E,4,S69,low+Pi-3,phf1,Plot7,Soil,low+Pi,Pot69,111479,11.6215915113368
Plate3B5,Plate3,B5,B,5,S70,low+Pi-4,phf1,Plot10,Soil,low+Pi,Pot70,153806,11.9434473469963
Plate2B12,Plate2,B12,B,12,S71,low+Pi-5,phf1,Plot13,Soil,low+Pi,Pot71,343868,12.7480131417856
Plate2G4,Plate2,G4,G,4,S72,low+Pi-6,phf1,Plot16,Soil,low+Pi,Pot72,125538,11.7403637805673
