DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Plot,Fraction,Phosphate,Pot,Depth,LDepth,CAP1,CAP2,CAP3,MDS1,MDS2,MDS3
Plate2F7,Plate2,F7,F,7,R58,low+Pi-4,Col-0,Plot10,Root,low+Pi,Pot58,48231,10.7837572468311,1.58564196959621,1.33278324529202,0.361025998841058,1.32804013543843,-0.124366233300068,0.504541636523902
Plate1E6,Plate1,E6,E,6,R62,low+Pi-2,phr1/phl1,Plot4,Root,low+Pi,Pot62,18558,9.82865624191312,1.6402019657413,0.949406814351013,0.691832650813971,-0.628841170923114,0.0676196827810727,0.556424383168156
Plate2F10,Plate2,F10,F,10,R64,low+Pi-4,phr1/phl1,Plot10,Root,low+Pi,Pot64,21381,9.97025795616998,1.82264377503075,0.719397371117676,0.293638072963816,0.472854963213915,0.155920037463893,0.340633156254797
Plate2H6,Plate2,H6,H,6,R65,low+Pi-5,phr1/phl1,Plot13,Root,low+Pi,Pot65,193462,12.1728363897375,1.97368680404292,0.112750545885892,-0.0724484791418384,0.540607460889907,-0.868986191959725,-0.664627837790859
Plate2G12,Plate2,G12,G,12,R66,low+Pi-6,phr1/phl1,Plot16,Root,low+Pi,Pot66,25294,10.1383224924399,1.46634994129029,0.650990653344038,-0.480494430467386,0.231182787057608,0.191048998706175,-0.743688213289247
Plate3C1,Plate3,C1,C,1,R67,low+Pi-1,phf1,Plot1,Root,low+Pi,Pot67,109972,11.6079810669178,1.64549928346888,0.891138025421188,1.30149379992145,1.41868516982745,0.08838915928736,0.24865253761816
Plate2B5,Plate2,B5,B,5,R69,low+Pi-3,phf1,Plot7,Root,low+Pi,Pot69,104848,11.5602669612793,0.429762330722841,1.05582351100172,1.00685934941027,-0.780016151098231,-0.755535600247723,1.09268717268608
Plate2A10,Plate2,A10,A,10,R69,low+Pi-3,phf1,Plot7,Root,low+Pi,Pot69,149780,11.9169228298034,0.117135116434439,1.14580970619292,1.28258427616358,-0.735738269448755,-0.530285523901954,0.975865194588547
Plate1H3,Plate1,H3,H,3,R71,low+Pi-5,phf1,Plot13,Root,low+Pi,Pot71,17813,9.78768380679248,-0.738136612363308,0.649014194612363,1.36971618117123,-0.803125536306808,1.25096472205002,-0.90223952042012
Plate2H5,Plate2,H5,H,5,R72,low+Pi-6,phf1,Plot16,Root,low+Pi,Pot72,54156,10.899624049615,-0.560050342182493,0.0341132235292141,1.82163840067914,-1.01587034590981,0.944913674582682,-0.961782825179237
