Gene,group,value,Cluster,Genotype,Phosphate
AT2G04050,phr1_phl1_low_Pi,-0.659215472742828,Cluster1,phr1_phl1,low_Pi
AT2G04050,Col_0_low_Pi,-0.882225633442964,Cluster1,Col_0,low_Pi
AT2G04050,phr1_phl1_low,0.422059999192371,Cluster1,phr1_phl1,low
AT2G04050,Col_0_low,1.1882154482944,Cluster1,Col_0,low
AT2G04050,phf1_low,-0.250882236499707,Cluster1,phf1,low
AT2G04070,phr1_phl1_low,-0.428404258775046,Cluster1,phr1_phl1,low
AT2G04070,Col_0_low,1.3298656867818,Cluster1,Col_0,low
AT2G04070,phr1_phl1_low_Pi,-0.433760671620945,Cluster1,phr1_phl1,low_Pi
AT2G04070,phf1_low,-0.33806018344584,Cluster1,phf1,low
AT2G04070,Col_0_low_Pi,-0.491343551269388,Cluster1,Col_0,low_Pi
AT2G04070,phf1_low_Pi,-0.448985481003094,Cluster1,phf1,low_Pi
AT2G18193,phr1_phl1_low,-0.500607252399204,Cluster1,phr1_phl1,low
AT2G18193,phr1_phl1_low_Pi,0.234461172249228,Cluster1,phr1_phl1,low_Pi
AT2G18193,phf1_low_Pi,-0.497154006768486,Cluster1,phf1,low_Pi
AT2G18193,Col_0_low_Pi,-0.391232818063107,Cluster1,Col_0,low_Pi
AT2G18193,Col_0_low,1.40173213120622,Cluster1,Col_0,low
AT2G18193,phf1_low,-0.586267574549256,Cluster1,phf1,low
AT2G21640,phf1_low_Pi,-0.827931665693861,Cluster1,phf1,low_Pi
AT2G21640,phf1_low,-0.31551625023722,Cluster1,phf1,low
AT2G21640,phr1_phl1_low,-0.526493656403163,Cluster1,phr1_phl1,low
AT2G21640,phr1_phl1_low_Pi,-0.237298224888614,Cluster1,phr1_phl1,low_Pi
AT2G21640,Col_0_low_Pi,-0.143016468860281,Cluster1,Col_0,low_Pi
AT2G21640,Col_0_low,1.3929101858383,Cluster1,Col_0,low
AT2G21900,Col_0_low_Pi,-1.17667439272725,Cluster1,Col_0,low_Pi
AT2G21900,phr1_phl1_low,-1.22755104403068,Cluster1,phr1_phl1,low
AT2G21900,Col_0_low,0.881453538028267,Cluster1,Col_0,low
AT2G21900,phr1_phl1_low_Pi,-0.0233608100388396,Cluster1,phr1_phl1,low_Pi
AT2G21900,phf1_low_Pi,0.492125364316915,Cluster1,phf1,low_Pi
AT2G21900,phf1_low,0.444902974680589,Cluster1,phf1,low
AT2G23150,Col_0_low,1.56707955562568,Cluster1,Col_0,low
AT2G23150,phr1_phl1_low_Pi,-0.977713516887111,Cluster1,phr1_phl1,low_Pi
AT2G23150,Col_0_low_Pi,-0.16267867563843,Cluster1,Col_0,low_Pi
AT2G23150,phf1_low,0.0338200453452294,Cluster1,phf1,low
AT2G23150,phr1_phl1_low,-1.01249247516343,Cluster1,phr1_phl1,low
AT2G23150,phf1_low_Pi,-0.73732149221095,Cluster1,phf1,low_Pi
AT2G26480,Col_0_low_Pi,-0.662338851826899,Cluster1,Col_0,low_Pi
AT2G26480,Col_0_low,1.47474576647259,Cluster1,Col_0,low
AT2G26480,phr1_phl1_low_Pi,-0.108606741224201,Cluster1,phr1_phl1,low_Pi
AT2G26480,phf1_low,0.0148526367891777,Cluster1,phf1,low
AT2G26480,phr1_phl1_low,-0.942724472118951,Cluster1,phr1_phl1,low
AT2G26480,phf1_low_Pi,-0.5750309103347,Cluster1,phf1,low_Pi
AT2G26560,Col_0_low,1.44005995558925,Cluster1,Col_0,low
AT2G26560,phr1_phl1_low_Pi,-0.621490364583724,Cluster1,phr1_phl1,low_Pi
AT2G26560,phf1_low_Pi,-0.389848960403982,Cluster1,phf1,low_Pi
AT2G26560,phf1_low,-0.317208014788963,Cluster1,phf1,low
AT2G26560,phr1_phl1_low,-0.195137603135935,Cluster1,phr1_phl1,low
AT2G26560,Col_0_low_Pi,-0.788546165368661,Cluster1,Col_0,low_Pi
AT2G27880,phf1_low,-0.476857549015066,Cluster1,phf1,low
AT2G27880,Col_0_low_Pi,-0.107237150726543,Cluster1,Col_0,low_Pi
AT2G27880,Col_0_low,1.6573272643534,Cluster1,Col_0,low
AT2G27880,phr1_phl1_low_Pi,-0.724422070384919,Cluster1,phr1_phl1,low_Pi
AT2G27880,phf1_low_Pi,-0.576834316703578,Cluster1,phf1,low_Pi
AT2G27880,phr1_phl1_low,-0.724422070384919,Cluster1,phr1_phl1,low
AT2G28570,Col_0_low_Pi,-1.84457621264305,Cluster1,Col_0,low_Pi
AT2G28570,phr1_phl1_low_Pi,0.423901876157033,Cluster1,phr1_phl1,low_Pi
AT2G28570,Col_0_low,0.515536323923803,Cluster1,Col_0,low
AT2G28570,phr1_phl1_low,0.516443807222747,Cluster1,phr1_phl1,low
AT2G28570,phf1_low,-0.169037015732483,Cluster1,phf1,low
AT2G28570,phf1_low_Pi,0.646135473952015,Cluster1,phf1,low_Pi
AT2G31060,Col_0_low,0.706139298494946,Cluster1,Col_0,low
AT2G31060,phr1_phl1_low,0.543716865642321,Cluster1,phr1_phl1,low
AT2G31060,phf1_low,0.236748150737168,Cluster1,phf1,low
AT2G31060,Col_0_low_Pi,0.431259557951316,Cluster1,Col_0,low_Pi
AT2G31060,phr1_phl1_low_Pi,-1.84457621264305,Cluster1,phr1_phl1,low_Pi
AT2G31060,phf1_low_Pi,-1.40603794007832,Cluster1,phf1,low_Pi
AT2G33750,phf1_low_Pi,-0.422479898513184,Cluster1,phf1,low_Pi
AT2G33750,phr1_phl1_low,-0.175550917688945,Cluster1,phr1_phl1,low
AT2G33750,phr1_phl1_low_Pi,-0.572769322335356,Cluster1,phr1_phl1,low_Pi
AT2G33750,phf1_low,-0.232130667063205,Cluster1,phf1,low
AT2G33750,Col_0_low_Pi,-0.880164978798087,Cluster1,Col_0,low_Pi
AT2G33750,Col_0_low,1.34300707676413,Cluster1,Col_0,low
AT2G34500,phr1_phl1_low_Pi,-0.190775530115174,Cluster1,phr1_phl1,low_Pi
AT2G34500,phr1_phl1_low,-0.831086897556948,Cluster1,phr1_phl1,low
AT2G34500,Col_0_low_Pi,-0.347741534765673,Cluster1,Col_0,low_Pi
AT2G34500,Col_0_low,1.46471870330615,Cluster1,Col_0,low
AT2G34500,phf1_low,-0.223334454580232,Cluster1,phf1,low
AT2G34500,phf1_low_Pi,-0.587860175708673,Cluster1,phf1,low_Pi
AT2G41380,phr1_phl1_low_Pi,-0.0803787519410653,Cluster1,phr1_phl1,low_Pi
AT2G41380,Col_0_low_Pi,-0.143283890638912,Cluster1,Col_0,low_Pi
AT2G41380,phf1_low,-0.316931865652113,Cluster1,phf1,low
AT2G41380,Col_0_low,0.799911211083098,Cluster1,Col_0,low
AT2G41380,phr1_phl1_low,-0.545439813171603,Cluster1,phr1_phl1,low
AT2G41380,phf1_low_Pi,-0.262365944617561,Cluster1,phf1,low_Pi
AT2G43590,phr1_phl1_low_Pi,-0.380626524690068,Cluster1,phr1_phl1,low_Pi
AT2G43590,phr1_phl1_low,-0.992350486701865,Cluster1,phr1_phl1,low
AT2G43590,Col_0_low_Pi,-0.0670775065313518,Cluster1,Col_0,low_Pi
AT2G43590,phf1_low_Pi,-0.579248567524389,Cluster1,phf1,low_Pi
AT2G43590,Col_0_low,1.05867442251462,Cluster1,Col_0,low
AT2G43590,phf1_low,0.0829762568645142,Cluster1,phf1,low
