ASV_Id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Contrast	Kingdom	Phylum	Class	Order	Family	Genus
ASV1019	5.38271765254045	0.227739487482595	1.13732642127304	0.200241094573078	0.841292029126825	0.923539748268298	Root-Shoot	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Bryobacter
ASV1019	5.38271765254045	-3.63416163630828	1.68215058180657	-2.16042587127088	0.0307397164516207	0.095614060707093	Shoot-Soil	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Bryobacter
ASV1019	5.38271765254045	-3.40642214882569	1.67199173090007	-2.03734389702509	0.0416155917593801	0.120905727129563	Root-Soil	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Bryobacter
ASV102	95.558536855553	8.8548738446283	0.846241293384394	10.4637695109568	1.26712114248311e-25	7.91605135558536e-24	Shoot-Soil	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
ASV102	95.558536855553	0.260953147242645	0.858849260788205	0.303840451586529	0.761249446821506	0.870820030832991	Root-Soil	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
ASV102	95.558536855553	-8.59392069738566	0.560317192809291	-15.3375995019854	4.2875923479817e-53	1.4256936104192e-50	Root-Shoot	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
ASV1020	10.5308385622194	-1.82320928686155	1.97329628554511	-0.923940971367053	0.355517049829437	0.552341343633785	Root-Soil	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus
ASV1020	10.5308385622194	-4.4527558405051	1.32498761286534	-3.36060186319466	0.000777728461826133	0.0043206709374567	Root-Shoot	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus
ASV1020	10.5308385622194	2.62954655364356	1.97375963251078	1.33225267673479	0.182777172022927	0.355417296587877	Shoot-Soil	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus
ASV1021	7.21560323511106	-0.696155449694474	1.88138880077312	-0.37002210782184	NA	NA	Root-Shoot	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas
ASV1021	7.21560323511106	22.7434926636022	2.82813203210323	8.04187796235535	NA	NA	Root-Soil	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas
ASV1021	7.21560323511106	23.4396481132967	2.83969338741718	8.25428837393464	NA	NA	Shoot-Soil	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas
ASV1022	6.30771220135343	-3.35573832068374	0.868130138679047	-3.86547842445587	0.000110871650376057	0.000760895454112117	Root-Shoot	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella
ASV1022	6.30771220135343	-1.80833796688249	1.26945705514947	-1.42449715769989	0.154302607274892	0.317983061933143	Shoot-Soil	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella
ASV1022	6.30771220135343	-5.16407628756623	1.27580075026522	-4.04771378798192	5.1720335069665e-05	0.000384378668996472	Root-Soil	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella
ASV1023	6.53229030837822	4.4694907258973	1.24806393999842	3.58113922104259	0.000342099291622587	0.002096527644498	Root-Shoot	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	NA
ASV1023	6.53229030837822	2.64601381182995	1.84261937897073	1.43600672066522	0.151000428894601	0.313784135593958	Root-Soil	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	NA
ASV1023	6.53229030837822	-1.82347691406735	1.86409768277434	-0.978208884071708	0.327971023408691	0.523919184545169	Shoot-Soil	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	NA
ASV1024	8.64354031474852	-4.46992140033197	2.17217788879317	-2.05780632580483	0.0396087285966052	0.116122518308819	Root-Shoot	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter
ASV1024	8.64354031474852	18.8985778928905	3.26719799668374	5.78433811237423	7.27983903303601e-09	9.68265558097228e-08	Shoot-Soil	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter
ASV1024	8.64354031474852	14.4286564925585	3.25547044725054	4.43212639351233	9.33082908808387e-06	8.06897535570206e-05	Root-Soil	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter
ASV1025	6.94181480307815	0.563430913719006	1.09655534706756	0.513818946964921	0.60737857986359	0.759352140840981	Root-Shoot	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis
