Plate	Well	row	column	Sample	Soil	Genotype	Plot	Fraction	OTU_Header	DADA2_Header	Phosphate	Pot	Depth	LDepth	Shannon	Richness
Plate2	D5	d	5	L4	low-4	Col-0	Plot10	Shoot	P66Plate2	Plate2_D5	low	Pot4	25400	10.1425044530066	5.0280023723174	409
Plate2	D6	d	6	L31	medium-1	phf1	Plot2	Shoot	P78Plate2	Plate2_D6	medium	Pot31	33262	10.4121708832301	4.59471597574267	437
Plate2	D8	d	8	R46	high-4	phr1/phl1	Plot12	Root	P58Plate2	Plate2_D8	high	Pot46	38986	10.5709578863061	5.14620022812113	477
Plate2	D9	d	9	L16	low-4	phf1	Plot10	Shoot	P44Plate2	Plate2_D9	low	Pot16	32635	10.3931406110693	5.38962425068444	562
Plate2	E1	e	1	S48	high-6	phr1/phl1	Plot18	Soil	P3Plate2	Plate2_E1	high	Pot48	37212	10.5243865688884	6.19614426422683	826
Plate2	E10	e	10	L11	low-5	phr1/phl1	Plot13	Shoot	P34Plate2	Plate2_E10	low	Pot11	44448	10.7020752455541	5.04737733343185	400
Plate2	E11	e	11	L48	high-6	phr1/phl1	Plot18	Shoot	P71Plate2	Plate2_E11	high	Pot48	49134	10.8023065384982	4.62177755504892	386
Plate2	E12	e	12	R55	low+Pi-1	Col-0	Plot1	Root	P28Plate2	Plate2_E12	low+Pi	Pot55	50023	10.8202381786427	4.96231245400115	421
Plate2	E2	e	2	S76	low-4	No_Plant	Plot10	BulkSoil	P69Plate2	Plate2_E2	low	Pot76	37291	10.5265072896543	6.29633675519617	866
Plate2	E3	e	3	S68	low+Pi-2	phf1	Plot4	Soil	P59Plate2	Plate2_E3	low+Pi	Pot68	30756	10.3338403761521	6.02107055699686	699
Plate2	E4	e	4	S69	low+Pi-3	phf1	Plot7	Soil	P56Plate2	Plate2_E4	low+Pi	Pot69	55625	10.9263880194685	6.18585629016268	855
Plate2	E6	e	6	S25	medium-1	phr1/phl1	Plot2	Soil	P63Plate2	Plate2_E6	medium	Pot25	46679	10.7510496637203	6.39299415550039	939
Plate2	E7	e	7	R57	low+Pi-3	Col-0	Plot7	Root	P67Plate2	Plate2_E7	low+Pi	Pot57	43316	10.6762773607483	4.54178616891096	358
Plate2	E8	e	8	L9	low-3	phr1/phl1	Plot7	Shoot	P54Plate2	Plate2_E8	low	Pot9	42134	10.6486102946864	4.23922124651555	266
Plate2	F1	f	1	L57	low+Pi-3	Col-0	Plot7	Shoot	P6Plate2	Plate2_F1	low+Pi	Pot57	44635	10.7062735836135	5.4117096364419	582
Plate2	F10	f	10	R64	low+Pi-4	phr1/phl1	Plot10	Root	P19Plate2	Plate2_F10	low+Pi	Pot64	24640	10.1121264176475	4.79292950870376	433
Plate2	F11	f	11	R7	low-1	phr1/phl1	Plot1	Root	P48Plate2	Plate2_F11	low	Pot7	52551	10.8695394056198	5.16028135872806	445
Plate2	F3	f	3	S36	medium-6	phf1	Plot17	Soil	P64Plate2	Plate2_F3	medium	Pot36	33079	10.4066539189346	6.26710803174312	851
Plate2	F4	f	4	L6	low-6	Col-0	Plot16	Shoot	P80Plate2	Plate2_F4	low	Pot6	58536	10.9773972285639	4.36083392678037	502
Plate2	F6	f	6	L43	high-1	phr1/phl1	Plot3	Shoot	P24Plate2	Plate2_F6	high	Pot43	48095	10.7809335005867	4.69665686955895	344
Plate2	F7	f	7	R58	low+Pi-4	Col-0	Plot10	Root	P46Plate2	Plate2_F7	low+Pi	Pot58	45149	10.7177234102056	4.55838710614597	368
Plate2	G1	g	1	L33	medium-3	phf1	Plot8	Shoot	P81Plate2	Plate2_G1	medium	Pot33	41461	10.6325085053323	5.19658599236484	517
Plate2	G10	g	10	L25	medium-1	phr1/phl1	Plot2	Shoot	P62Plate2	Plate2_G10	medium	Pot25	49303	10.8057402101064	4.82876239321353	425
Plate2	G11	g	11	S95	low+Pi-5	No_Plant	Plot13	BulkSoil	P72Plate2	Plate2_G11	low+Pi	Pot95	12669	9.44691334360205	5.83363585586091	590
Plate2	G12	g	12	R66	low+Pi-6	phr1/phl1	Plot16	Root	P45Plate2	Plate2_G12	low+Pi	Pot66	53634	10.8899384743159	5.60168721305411	660
