Id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Contrast	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV114	419.054510678091	-1.14525764664049	1.17688692966166	-0.973124620365814	0.330491368949851	0.464291193407852	Shoot-Soil	Fungi	Ascomycota	Sordariomycetes	Branch06	unidentified	unidentified	Branch06_sp
ASV114	419.054510678091	9.67849942010837	1.16810792338743	8.28562089711829	1.17494488041626e-16	7.51230382916147e-15	Root-Shoot	Fungi	Ascomycota	Sordariomycetes	Branch06	unidentified	unidentified	Branch06_sp
ASV114	419.054510678091	8.53324177346788	1.12638712610922	7.57576287554308	3.5702339430774e-14	1.66015878353099e-12	Root-Soil	Fungi	Ascomycota	Sordariomycetes	Branch06	unidentified	unidentified	Branch06_sp
ASV115	30.7525302947299	-2.90411924000697	0.560304507351458	-5.1831088308296	2.18217618918612e-07	2.78993465350175e-06	Root-Soil	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia_unclassified
ASV115	30.7525302947299	-3.00235476132905	0.575347066133806	-5.21833678844346	1.80536965625595e-07	2.39856254331148e-06	Shoot-Soil	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia_unclassified
ASV115	30.7525302947299	0.0982355213220779	0.584025339252468	0.168204210878617	0.866422628343082	0.92040534661991	Root-Shoot	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia_unclassified
ASV116	54.8689089783555	-0.826039245566162	0.497654970505573	-1.65986334814858	0.0969419462785582	0.190869102092754	Shoot-Soil	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_unclassified	Hypocreales_unclassified	Hypocreales_unclassified
ASV116	54.8689089783555	-1.98545569512079	0.48833880675406	-4.06573401020066	4.78815219323979e-05	0.000325824445532326	Root-Soil	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_unclassified	Hypocreales_unclassified	Hypocreales_unclassified
ASV116	54.8689089783555	-1.15941644955463	0.503012011803166	-2.30494783891626	0.0211694949025756	0.0585307926630672	Root-Shoot	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_unclassified	Hypocreales_unclassified	Hypocreales_unclassified
ASV117	19.4284242052734	-2.62925533052483	0.69057895090715	-3.80732040423621	0.000140480689557737	0.000798398585653137	Root-Soil	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_unclassified
ASV117	19.4284242052734	-3.92608820614423	0.716311508409432	-5.48097882004172	4.22979122317801e-08	6.76105690829861e-07	Shoot-Soil	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_unclassified
ASV117	19.4284242052734	1.2968328756194	0.724773895458374	1.7892930246877	0.0735676368371753	0.154220681320554	Root-Shoot	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_unclassified
ASV118	187.746521894748	11.5239727862407	2.1003913891457	5.48658352238241	4.09781715841441e-08	6.6540745286634e-07	Shoot-Soil	Fungi	Basidiomycota	Pucciniomycetes	Platygloeales	Eocronartiaceae	Eocronartium	Eocronartium_sp
ASV118	187.746521894748	3.59583388655896	2.04692454926465	1.75670074788577	0.0789688300036554	0.16391030095349	Root-Soil	Fungi	Basidiomycota	Pucciniomycetes	Platygloeales	Eocronartiaceae	Eocronartium	Eocronartium_sp
ASV118	187.746521894748	-7.92813889968177	2.09325887503925	-3.78746221703377	0.000152193819310349	0.000855463061288393	Root-Shoot	Fungi	Basidiomycota	Pucciniomycetes	Platygloeales	Eocronartiaceae	Eocronartium	Eocronartium_sp
ASV119	66.9389665167512	-2.64170746024097	0.791785573521283	-3.33639251406487	0.00084873240934247	0.0038589033544771	Root-Soil	Fungi	Ascomycota	Ascomycota_unclassified	Ascomycota_unclassified	Ascomycota_unclassified	Ascomycota_unclassified	Ascomycota_unclassified
ASV119	66.9389665167512	-1.98859224849541	0.814185713005191	-2.44243078296651	0.0145887268661168	0.0423984874546518	Root-Shoot	Fungi	Ascomycota	Ascomycota_unclassified	Ascomycota_unclassified	Ascomycota_unclassified	Ascomycota_unclassified	Ascomycota_unclassified
ASV119	66.9389665167512	-0.653115211745557	0.810331649967654	-0.805985070151989	0.420251457677675	0.555889079709923	Shoot-Soil	Fungi	Ascomycota	Ascomycota_unclassified	Ascomycota_unclassified	Ascomycota_unclassified	Ascomycota_unclassified	Ascomycota_unclassified
ASV12	493.379593221488	-1.34942398046416	0.321198040594353	-4.20122108455938	2.65479176224284e-05	0.000204199396449205	Root-Soil	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_hyalina
ASV12	493.379593221488	-1.30279576625752	0.330081106036633	-3.94689590658648	7.91709568207754e-05	0.000499949931034896	Shoot-Soil	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_hyalina
ASV12	493.379593221488	-0.0466282142066326	0.330270614237452	-0.141181843605101	0.887726289104728	0.934304520323186	Root-Shoot	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_hyalina
ASV120	89.4771297299259	0.048798205374438	0.640908791607224	0.0761390794032727	0.939308449493064	0.96671282075594	Root-Shoot	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_alpina
ASV120	89.4771297299259	-0.859678694669939	0.640290505783105	-1.34263851627553	0.179389052256822	0.29839837472964	Shoot-Soil	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_alpina
