Gene,pvalue,padj,Significance,Cluster,PSR_Regulon
AT2G23120,0.00026994269375288,0.0365742356402513,Significant,Cluster5,No
AT4G14760,0.000279747224339935,0.0373493173751952,Significant,Cluster5,No
AT3G25640,0.000289960233285624,0.0384323378770098,Significant,Cluster5,No
AT4G21760,0.000293315488132303,0.0385973639814961,Significant,Cluster5,No
AT4G27520,0.000512840604313998,0.0621216390298499,Significant,Cluster5,No
AT1G04660,0.000652904662023792,0.0721399832170376,Significant,Cluster5,No
AT2G26690,0.0006331934195899,0.0721399832170376,Significant,Cluster5,No
AT3G45780,0.000662594564565214,0.0721399832170376,Significant,Cluster5,No
AT5G52310,0.000714678080180164,0.0761220467999461,Significant,Cluster5,No
AT4G04220,0.00077007771165676,0.0809511001374357,Significant,Cluster5,No
AT4G37780,0.000861538223937107,0.0870629594145504,Significant,Cluster5,No
AT2G28550,0.00098385117333892,0.0929805077768146,Significant,Cluster5,No
AT2G37900,0.00113540891079576,0.0994350236281088,Significant,Cluster5,No
AT5G25980,0.00114053671237395,0.0994350236281088,Significant,Cluster5,No
AT1G05680,0.00119959461716656,0.101199470748131,NoSignificant,NoSignificant,No
AT1G17960,0.00120654564221724,0.101199470748131,NoSignificant,NoSignificant,No
AT1G51830,0.00119631905433829,0.101199470748131,NoSignificant,NoSignificant,No
AT1G52120,0.00119253935812772,0.101199470748131,NoSignificant,NoSignificant,No
AT2G19110,0.00117601969019896,0.101199470748131,NoSignificant,NoSignificant,No
AT3G45960,0.00119245349333147,0.101199470748131,NoSignificant,NoSignificant,No
AT3G59350,0.00118670243302387,0.101199470748131,NoSignificant,NoSignificant,No
AT3G60245,0.00120338864102705,0.101199470748131,NoSignificant,NoSignificant,No
AT4G27190,0.00121167153757808,0.101199470748131,NoSignificant,NoSignificant,No
AT3G58990,0.00122367539606697,0.101737484861186,NoSignificant,NoSignificant,No
AT1G15260,0.00129227060926366,0.106954396896116,NoSignificant,NoSignificant,No
AT2G01760,0.00132808279622294,0.109423254169882,NoSignificant,NoSignificant,No
AT2G35470,0.00137085657760416,0.111939007414989,NoSignificant,NoSignificant,No
AT3G22370,0.00136659179132098,0.111939007414989,NoSignificant,NoSignificant,No
AT3G24503,0.00137937712222329,0.112134164189272,NoSignificant,NoSignificant,No
AT3G48740,0.00138906728000141,0.112422254949141,NoSignificant,NoSignificant,No
AT1G21250,0.0014766137212911,0.115421972547588,NoSignificant,NoSignificant,No
AT1G30370,0.00146862651887971,0.115421972547588,NoSignificant,NoSignificant,No
AT1G31580,0.00144922838260074,0.115421972547588,NoSignificant,NoSignificant,No
AT4G23700,0.0014714321956183,0.115421972547588,NoSignificant,NoSignificant,No
AT4G30670,0.00147489299793589,0.115421972547588,NoSignificant,NoSignificant,No
AT5G13100,0.00147396113598462,0.115421972547588,NoSignificant,NoSignificant,No
AT5G16570,0.00144042600096237,0.115421972547588,NoSignificant,NoSignificant,No
AT5G45070,0.0014359981399757,0.115421972547588,NoSignificant,NoSignificant,No
AT1G04240,0.00153206639992679,0.118240618232324,NoSignificant,NoSignificant,No
AT3G22910,0.00153085018400088,0.118240618232324,NoSignificant,NoSignificant,No
AT3G25780,0.00152297761826348,0.118240618232324,NoSignificant,NoSignificant,No
AT4G17490,0.00156620116380397,0.120367165912346,NoSignificant,NoSignificant,No
AT2G39310,0.00160005208306528,0.12235265399258,NoSignificant,NoSignificant,No
AT3G62730,0.00160541451851835,0.12235265399258,NoSignificant,NoSignificant,No
AT1G68470,0.00167410223720298,0.126533074465619,NoSignificant,NoSignificant,No
AT5G43580,0.00166801147760326,0.126533074465619,NoSignificant,NoSignificant,No
AT1G62770,0.00171138880634718,0.128370575819658,NoSignificant,NoSignificant,No
AT5G60030,0.00171244986605416,0.128370575819658,NoSignificant,NoSignificant,No
AT5G22890,0.00172130235260665,0.128507515638891,NoSignificant,NoSignificant,No
AT4G15550,0.00173304446298264,0.128858196229331,NoSignificant,NoSignificant,No
AT5G37600,0.00177059125515693,0.131116941895042,NoSignificant,NoSignificant,No
AT1G05370,0.00178869793336631,0.131923685077432,NoSignificant,NoSignificant,No
AT5G61010,0.00183106283795664,0.134505905096647,NoSignificant,NoSignificant,No
AT3G51840,0.0018405472472355,0.134661798796738,NoSignificant,NoSignificant,No
AT1G59590,0.00188668538271646,0.137118583255871,NoSignificant,NoSignificant,No
AT2G36080,0.00189661590748102,0.137118583255871,NoSignificant,NoSignificant,No
AT3G59060,0.00189500609285613,0.137118583255871,NoSignificant,NoSignificant,No
AT3G24080,0.00193394612874877,0.138178940003687,NoSignificant,NoSignificant,No
AT4G01540,0.00192651988406161,0.138178940003687,NoSignificant,NoSignificant,No
AT5G63790,0.00192268358905243,0.138178940003687,NoSignificant,NoSignificant,No
AT3G11050,0.00194249415499695,0.138249652097468,NoSignificant,NoSignificant,No
AT1G18470,0.0019588059362898,0.138443208635437,NoSignificant,NoSignificant,No
AT1G29100,0.00196035159567974,0.138443208635437,NoSignificant,NoSignificant,No
AT1G02340,0.00199173645127287,0.140118659347047,NoSignificant,NoSignificant,No
AT5G62390,0.0020000892283245,0.140167172702236,NoSignificant,NoSignificant,No
AT2G23610,0.00203180163197364,0.141846120803167,NoSignificant,NoSignificant,No
AT2G29125,0.00207713633106032,0.142830453501595,NoSignificant,NoSignificant,No
AT2G29510,0.00207196792530071,0.142830453501595,NoSignificant,NoSignificant,No
AT3G22550,0.00207080279728061,0.142830453501595,NoSignificant,NoSignificant,No
AT5G22850,0.00207216529923507,0.142830453501595,NoSignificant,NoSignificant,No
AT1G08910,0.00211938681205972,0.143576682145868,NoSignificant,NoSignificant,No
AT1G59990,0.00211495731582514,0.143576682145868,NoSignificant,NoSignificant,No
AT2G42540,0.00209962802561837,0.143576682145868,NoSignificant,NoSignificant,No
AT4G24040,0.00211457860816864,0.143576682145868,NoSignificant,NoSignificant,No
AT3G63280,0.00215108709291199,0.145186472385436,NoSignificant,NoSignificant,No
AT2G07680,0.00219004422562918,0.146152836778832,NoSignificant,NoSignificant,No
AT2G47360,0.00219195554556506,0.146152836778832,NoSignificant,NoSignificant,No
AT4G31650,0.00219736647062374,0.146152836778832,NoSignificant,NoSignificant,No
AT5G17300,0.00217701131640677,0.146152836778832,NoSignificant,NoSignificant,No
AT4G18390,0.00221941267453257,0.147084337789403,NoSignificant,NoSignificant,No
AT1G27730,0.00227303853377721,0.148564781730882,NoSignificant,NoSignificant,No
AT2G02100,0.00226954653042195,0.148564781730882,NoSignificant,NoSignificant,No
AT4G25100,0.00227424082251637,0.148564781730882,NoSignificant,NoSignificant,No
AT5G62350,0.00226013942058251,0.148564781730882,NoSignificant,NoSignificant,No
AT1G16400,0.00229471032379889,0.149368492998596,NoSignificant,NoSignificant,No
AT1G22160,0.00231772485282762,0.150331579017979,NoSignificant,NoSignificant,No
AT3G52400,0.00233995404511944,0.151237100492154,NoSignificant,NoSignificant,No
AT1G67650,0.00236554480004113,0.151287342438994,NoSignificant,NoSignificant,No
AT3G09440,0.00236373647744106,0.151287342438994,NoSignificant,NoSignificant,No
AT5G44480,0.0023556815872408,0.151287342438994,NoSignificant,NoSignificant,No
AT5G62710,0.00237830027934262,0.151573137315178,NoSignificant,NoSignificant,No
AT5G06330,0.00238992135543098,0.151784901083987,NoSignificant,NoSignificant,No
AT5G22300,0.00239920221925054,0.151847085786545,NoSignificant,NoSignificant,No
AT1G13640,0.00248394641802251,0.155064382020647,NoSignificant,NoSignificant,No
AT2G22500,0.00247896378028068,0.155064382020647,NoSignificant,NoSignificant,No
AT4G38960,0.0024775829147078,0.155064382020647,NoSignificant,NoSignificant,No
AT5G07440,0.00248312975319909,0.155064382020647,NoSignificant,NoSignificant,No
AT1G26240,0.00249558520457352,0.155261050941681,NoSignificant,NoSignificant,No
AT4G25390,0.00251465729108693,0.155917276309393,NoSignificant,NoSignificant,No
AT4G36260,0.00253500576330692,0.15664794059678,NoSignificant,NoSignificant,No
AT5G59820,0.00262819469200083,0.161859626637667,NoSignificant,NoSignificant,No
AT1G21310,0.00264744730538351,0.162498183432113,NoSignificant,NoSignificant,No
AT3G50480,0.00268737345809836,0.164397150241061,NoSignificant,NoSignificant,No
AT1G73805,0.0027034354962641,0.164525877335741,NoSignificant,NoSignificant,No
AT2G32400,0.00270746755661571,0.164525877335741,NoSignificant,NoSignificant,No
AT2G36870,0.00274385655262589,0.165678255443737,NoSignificant,NoSignificant,No
AT3G52220,0.00274454712150524,0.165678255443737,NoSignificant,NoSignificant,No
AT1G12750,0.0027808791121992,0.167319275793538,NoSignificant,NoSignificant,No
AT1G13480,0.00280729202054411,0.167996300960143,NoSignificant,NoSignificant,No
AT4G15393,0.00281050068852462,0.167996300960143,NoSignificant,NoSignificant,No
AT1G49570,0.00282924775633054,0.168218483552921,NoSignificant,NoSignificant,No
AT5G18340,0.00283261128064621,0.168218483552921,NoSignificant,NoSignificant,No
AT3G05840,0.00287479113471782,0.168785860177843,NoSignificant,NoSignificant,No
AT4G32950,0.00287907650623186,0.168785860177843,NoSignificant,NoSignificant,No
AT5G23660,0.00286316587184221,0.168785860177843,NoSignificant,NoSignificant,No
AT5G54980,0.00286993632441827,0.168785860177843,NoSignificant,NoSignificant,No
AT1G19350,0.00289152605819843,0.168974131407372,NoSignificant,NoSignificant,No
AT5G14570,0.0029224877265958,0.170239563717082,NoSignificant,NoSignificant,No
AT1G80760,0.00300912713667653,0.174729982403017,NoSignificant,NoSignificant,No
AT1G50590,0.00306875368746681,0.174841204649827,NoSignificant,NoSignificant,No
AT3G03920,0.00306497275405303,0.174841204649827,NoSignificant,NoSignificant,No
AT3G15670,0.00302633548771035,0.174841204649827,NoSignificant,NoSignificant,No
AT3G66652,0.00307133434446563,0.174841204649827,NoSignificant,NoSignificant,No
AT4G22710,0.0030803629463361,0.174841204649827,NoSignificant,NoSignificant,No
AT4G25760,0.00307423558083107,0.174841204649827,NoSignificant,NoSignificant,No
AT5G16480,0.00305470617674865,0.174841204649827,NoSignificant,NoSignificant,No
AT5G65650,0.00308751348214389,0.174841204649827,NoSignificant,NoSignificant,No
AT4G34900,0.00317366822232595,0.179165325477049,NoSignificant,NoSignificant,No
AT3G51480,0.00320217834706763,0.180218597372966,NoSignificant,NoSignificant,No
AT1G69230,0.00324340421852203,0.1814223442232,NoSignificant,NoSignificant,No
AT5G62530,0.00323722767016774,0.1814223442232,NoSignificant,NoSignificant,No
AT5G40390,0.00325430018335367,0.18147684345647,NoSignificant,NoSignificant,No
AT2G01910,0.00328284878872674,0.182512423083893,NoSignificant,NoSignificant,No
AT5G03610,0.00330832187655732,0.183371258921545,NoSignificant,NoSignificant,No
AT1G28390,0.00333595625103781,0.184082252010458,NoSignificant,NoSignificant,No
AT3G07750,0.00334733233121872,0.184082252010458,NoSignificant,NoSignificant,No
AT4G04340,0.00335614122162566,0.184082252010458,NoSignificant,NoSignificant,No
AT4G10550,0.00336140572803526,0.184082252010458,NoSignificant,NoSignificant,No
AT2G18690,0.00342109283783656,0.186791668945876,NoSignificant,NoSignificant,No
AT4G20110,0.00345059799669132,0.187841928444883,NoSignificant,NoSignificant,No
AT4G37550,0.00346245802845182,0.187928248659977,NoSignificant,NoSignificant,No
AT4G26060,0.0034762167064961,0.188116804078462,NoSignificant,NoSignificant,No
AT1G57990,0.00350627848628328,0.188867576363566,NoSignificant,NoSignificant,No
AT4G14060,0.00351074167424484,0.188867576363566,NoSignificant,NoSignificant,No
AT3G28180,0.00355323410970876,0.190035687428898,NoSignificant,NoSignificant,No
AT5G28510,0.00354449499334227,0.190035687428898,NoSignificant,NoSignificant,No
AT1G51890,0.00357671249390358,0.190733668297348,NoSignificant,NoSignificant,No
AT2G39010,0.00360049519318102,0.191443772030448,NoSignificant,NoSignificant,No
AT2G24762,0.00363459139668243,0.192139627851787,NoSignificant,NoSignificant,No
AT2G28250,0.00362899424227458,0.192139627851787,NoSignificant,NoSignificant,No
AT2G13810,0.00368541362935783,0.193088158181221,NoSignificant,NoSignificant,No
AT2G39850,0.00368767893044559,0.193088158181221,NoSignificant,NoSignificant,No
AT3G45140,0.00369476001112172,0.193088158181221,NoSignificant,NoSignificant,No
AT4G19750,0.00368362106654065,0.193088158181221,NoSignificant,NoSignificant,No
AT1G78120,0.0037169661616806,0.193192528360915,NoSignificant,NoSignificant,No
AT3G60380,0.00372844363410438,0.193192528360915,NoSignificant,NoSignificant,No
AT4G25340,0.00371823959254197,0.193192528360915,NoSignificant,NoSignificant,No
AT3G57380,0.0037509504161302,0.193263757919542,NoSignificant,NoSignificant,No
AT3G57870,0.00374181770821293,0.193263757919542,NoSignificant,NoSignificant,No
AT1G77120,0.00380031391373655,0.194710201109679,NoSignificant,NoSignificant,No
